ID , Source_Name , RA , Dec , z , Rmag , Class , Flux_1GHz , Flux_143GHz , Flux_keV , Flux_Fermi
#id , Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
42 , 5BZBJ0047+2017 , 00 47 09.78 , +20 17 29.5 , 0  , 16.9 , BL Lac Candidate , 100 , 0 , 3.18 , 0
43 , 5BZBJ0047+3948 , 00 47 55.21 , +39 48 57.6 , 0.252  , 17.3 , BL Lac , 92 , 0 , 0.22 , 0
44 , 5BZBJ0047+5657 , 00 47 00.42 , +56 57 42.4 , 0  , 18.9 , BL Lac , 190 , 0 , 0 , 2e-9
45 , 5BZBJ0049+0237 , 00 49 43.21 , +02 37 03.89 , 0  , 18.5 , BL Lac , 425 , 0 , 0.29 , 7e-10
46 , 5BZBJ0050-0929 , 00 50 41.29 , -09 29 04.88 , 0  , 15.8 , BL Lac , 814 , 333 , 2.33 , 3.9e-9
47 , 5BZBJ0051-6242 , 00 51 16.64 , -62 42 04.39 , 0  , 16.7 , BL Lac , 43 , 0 , 2.89 , 1.4e-9
48 , 5BZBJ0054-2455 , 00 54 46.74 , -24 55 28.99 , 0  , 16.9 , BL Lac , 24 , 0 , 1.83 , 4e-10
49 , 5BZBJ0056+1625 , 00 56 55.25 , +16 25 13.51 , 0.206  , 20.9 , BL Lac Candidate , 125 , 0 , 0 , 0
50 , 5BZBJ0056-2117 , 00 56 32.27 , -21 17 07.9 , 0  , 16.7 , BL Lac , 90 , 0 , 0.46 , 5e-10
51 , 5BZBJ0057-2212 , 00 57 19.25 , -22 12 37.11 , 0  , 20.6 , BL Lac , 98 , 0 , 0.06 , 0
52 , 5BZBJ0058+1723 , 00 58 16.78 , +17 23 13.48 , 0  , 19.1 , BL Lac , 9 , 0 , 3.88 , 0
53 , 5BZBJ0058-3234 , 00 58 02.21 , -32 34 20.6 , 0  , 18.8 , BL Lac , 186 , 0 , 0.09 , 9e-10
54 , 5BZBJ0058-5219 , 00 58 55.85 , -52 19 28.09 , 0  , 20.2 , BL Lac , 86 , 0 , 0 , 0
55 , 5BZBJ0100-0055 , 01 00 58.18 , -00 55 47.38 , 0  , 18.7 , BL Lac , 33 , 0 , 0 , 0
56 , 5BZBJ0105+3928 , 01 05 09.29 , +39 28 15.31 , 0.44 ?  , 18.2 , BL Lac , 91 , 0 , 0 , 6e-10
57 , 5BZBJ0109+1816 , 01 09 08.17 , +18 16 07.5 , 0  , 16.9 , BL Lac , 90 , 0 , 4.51 , 5e-10
58 , 5BZBJ0110-0047 , 01 10 12.66 , -00 47 46.78 , 0.548  , 19.8 , BL Lac , 29 , 0 , 0 , 0
59 , 5BZBJ0110-0415 , 01 10 30.89 , -04 15 30.99 , 0  , 18.2 , BL Lac , 164 , 0 , 0.48 , 0
60 , 5BZBJ0110-1255 , 01 10 49.97 , -12 55 03.5 , 0.234 ?  , 16.7 , BL Lac , 17 , 0 , 7.78 , 0
61 , 5BZBJ0111+0536 , 01 11 30.18 , +05 36 27.28 , 0.346  , 18.8 , BL Lac Candidate , 16 , 0 , 2.08 , 0
62 , 5BZBJ0112+2244 , 01 12 05.81 , +22 44 38.79 , 0.265  , 14.8 , BL Lac , 385 , 0 , 1.93 , 7.1e-9
63 , 5BZBJ0112-3201 , 01 12 32.76 , -32 01 42.09 , 0  , 19.8 , BL Lac , 4 , 0 , 0.85 , 0
64 , 5BZBJ0114+1325 , 01 14 52.77 , +13 25 37.48 , 0  , 17.4 , BL Lac , 63 , 0 , 0.48 , 1.2e-9
65 , 5BZBJ0115+0356 , 01 15 40.5 , +03 56 43.29 , 0  , 16.7 , BL Lac , 99 , 0 , 0.56 , 1.5e-9
66 , 5BZBJ0115+2519 , 01 15 46.14 , +25 19 53.39 , 0  , 17.3 , BL Lac , 38 , 0 , 2.07 , 1.3e-9
67 , 5BZBJ0115-3400 , 01 15 01.72 , -34 00 27.21 , 0.482  , 19.1 , BL Lac , 6 , 0 , 1.13 , 0
68 , 5BZBJ0116-6153 , 01 16 19.61 , -61 53 43.51 , 0  , 17.8 , BL Lac , 27 , 0 , 0 , 3e-10
69 , 5BZBJ0117-2443 , 01 17 46.99 , -24 43 33.7 , 0.279  , 17 , BL Lac , 10 , 0 , 1.97 , 0
70 , 5BZBJ0120-2701 , 01 20 31.66 , -27 01 24.7 , 0  , 15.5 , BL Lac , 934 , 431 , 0.72 , 4.3e-9
71 , 5BZBJ0122+1510 , 01 22 27.37 , +15 10 23.08 , 0  , 19.7 , BL Lac , 38 , 0 , 0 , 0
72 , 5BZBJ0123+3420 , 01 23 08.63 , +34 20 48.51 , 0.272  , 17.9 , BL Lac , 44 , 0 , 25.3 , 4e-10
73 , 5BZBJ0123-2310 , 01 23 38.34 , -23 10 58.58 , 0.404  , 17.6 , BL Lac Candidate , 27 , 0 , 5.59 , 0
74 , 5BZBJ0124+0918 , 01 24 44.52 , +09 18 49.28 , 0.338  , 19.1 , BL Lac , 2 , 0 , 0.21 , 0
75 , 5BZBJ0124+3249 , 01 24 30.55 , +32 49 46.3 , 0  , 19.5 , BL Lac Candidate , 14 , 0 , 0.99 , 0
76 , 5BZBJ0124-0625 , 01 24 50.47 , -06 25 00.91 , 0  , 19.1 , BL Lac , 41 , 0 , 0 , 6e-10
77 , 5BZBJ0125-2549 , 01 25 18.83 , -25 49 04.4 , 0  , 19.2 , BL Lac , 166 , 0 , 0 , 0
78 , 5BZBJ0126+3307 , 01 26 57.23 , +33 07 30.28 , 0  , 19.3 , BL Lac , 7 , 0 , 1.96 , 0
