ID , Source_Name , RA , Dec , z , Rmag , Class , Flux_1GHz , Flux_143GHz , Flux_keV , Flux_Fermi
#id , Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
899 , 5BZBJ1616+2241 , 16 16 08.47 , +22 41 07.4 , 0.33  , 18.5 , BL Lac , 15 , 0 , 0.72 , 0
900 , 5BZBJ1616+3330 , 16 16 33.78 , +33 30 43.41 , 0  , 19.1 , BL Lac , 21 , 0 , 0 , 0
901 , 5BZBJ1617+4106 , 16 17 06.31 , +41 06 47.01 , 0.267  , 17.7 , BL Lac , 95 , 0 , 1.47 , 0
902 , 5BZBJ1618+0622 , 16 18 30.59 , +06 22 11.38 , 0  , 18.6 , BL Lac , 40 , 0 , 0.36 , 0
903 , 5BZBJ1618+3632 , 16 18 23.58 , +36 32 01.78 , 0  , 19.4 , BL Lac , 562 , 190 , 0.04 , 0
904 , 5BZBJ1621-0031 , 16 21 15.22 , -00 31 40.4 , 0  , 19 , BL Lac , 13 , 0 , 1.09 , 0
905 , 5BZBJ1622+4401 , 16 22 59.26 , +44 01 42.88 , 0  , 18.9 , BL Lac , 8 , 0 , 0.65 , 0
906 , 5BZBJ1623+2841 , 16 23 32.29 , +28 41 28.78 , 0.377 ?  , 19.2 , BL Lac , 4 , 0 , 0.24 , 0
907 , 5BZBJ1623+4545 , 16 23 40.39 , +45 45 19.51 , 0  , 20.3 , BL Lac Candidate , 65 , 0 , 0.15 , 0
908 , 5BZBJ1624+5652 , 16 24 32.17 , +56 52 27.98 , 0  , 18 , BL Lac , 259 , 145 , 0 , 0
909 , 5BZBJ1626+3513 , 16 26 25.85 , +35 13 41.48 , 0.498  , 18.3 , BL Lac , 24 , 0 , 0.84 , 0
910 , 5BZBJ1627+3149 , 16 27 12.97 , +31 49 55.99 , 0  , 19.9 , BL Lac , 7 , 0 , 0 , 0
911 , 5BZBJ1630+5221 , 16 30 43.13 , +52 21 38.59 , 0  , 17 , BL Lac , 121 , 0 , 0.33 , 1e-9
912 , 5BZBJ1631+4217 , 16 31 24.7 , +42 17 02.39 , 0.467  , 19 , BL Lac , 7 , 0 , 4.08 , 0
913 , 5BZBJ1632+1758 , 16 32 14.52 , +17 58 49.58 , 0.287  , 17.9 , BL Lac , 23 , 0 , 0 , 0
914 , 5BZBJ1636-1248 , 16 36 58.43 , -12 48 36.5 , 0.246  , 17.4 , BL Lac , 25 , 0 , 2.27 , 0
915 , 5BZBJ1637+1314 , 16 37 16.73 , +13 14 38.79 , 0  , 19 , BL Lac , 11 , 0 , 0.44 , 0
916 , 5BZBJ1637+4326 , 16 37 09.51 , +43 26 00.38 , 0.344  , 17.9 , BL Lac , 49 , 0 , 0.13 , 0
917 , 5BZBJ1638+7326 , 16 38 01.66 , +73 26 15.79 , 0  , 19.8 , BL Lac Candidate , 5 , 0 , 0.5 , 0
918 , 5BZBJ1642+2211 , 16 42 20.32 , +22 11 43.4 , 0.592  , 18.7 , BL Lac , 15 , 0 , 1.44 , 0
919 , 5BZBJ1642-0621 , 16 42 02.17 , -06 21 23.68 , 0  , 19.4 , BL Lac , 1220 , 669 , 0.29 , 1.1e-9
920 , 5BZBJ1642-8108 , 16 42 57.35 , -81 08 35.08 , 0  , 18.1 , BL Lac , 192 , 0 , 0 , 0
921 , 5BZBJ1643+3221 , 16 43 01.06 , +32 21 03.99 , 0  , 18.5 , BL Lac , 24 , 0 , 0 , 0
922 , 5BZBJ1649+5235 , 16 49 24.98 , +52 35 14.99 , 0  , 17.3 , BL Lac , 50 , 0 , 0 , 7e-10
923 , 5BZBJ1651+0129 , 16 51 03.65 , +01 29 23.49 , 0  , 21.4 , BL Lac , 714 , 556 , 0 , 0
924 , 5BZBJ1651+4212 , 16 51 09.19 , +42 12 53.38 , 0.269  , 18.9 , BL Lac , 14 , 0 , 0 , 0
925 , 5BZBJ1651+7218 , 16 51 39.96 , +72 18 24.91 , 0  , 16.6 , BL Lac Candidate , 20 , 0 , 1.41 , 0
926 , 5BZBJ1652+3632 , 16 52 48.45 , +36 32 12.58 , 0.648 ?  , 19.2 , BL Lac , 58 , 0 , 0 , 0
927 , 5BZBJ1652+4023 , 16 52 49.92 , +40 23 09.88 , 0  , 18.4 , BL Lac , 19 , 0 , 0.27 , 0
928 , 5BZBJ1653+3945 , 16 53 52.21 , +39 45 36.61 , 0.033  , 13.3 , BL Lac , 1558 , 553 , 36.9 , 8.8e-9
929 , 5BZBJ1655+3244 , 16 55 42.82 , +32 44 20.18 , 0  , 19.6 , BL Lac , 38 , 0 , 0 , 0
930 , 5BZBJ1655+3723 , 16 55 52.22 , +37 23 21.91 , 0  , 20.3 , BL Lac , 76 , 0 , 0 , 0
931 , 5BZBJ1657+6436 , 16 57 58.97 , +64 36 41.61 , 0.449  , 20.6 , BL Lac , 5 , 0 , 0.15 , 0
932 , 5BZBJ1658+6150 , 16 58 08.34 , +61 50 02.0 , 0.374  , 18.1 , BL Lac , 38 , 0 , 0 , 0
933 , 5BZBJ1701+3954 , 17 01 24.62 , +39 54 37.11 , 0.507 ?  , 16.2 , BL Lac , 190 , 323 , 0 , 0
934 , 5BZBJ1701+3954 , 17 01 08.88 , +39 54 42.08 , 0  , 19.3 , BL Lac , 6 , 0 , 0 , 0
935 , 5BZBJ1702+2643 , 17 02 09.64 , +26 43 14.69 , 0  , 17.9 , BL Lac Candidate , 44 , 0 , 0 , 0
936 , 5BZBJ1702+3115 , 17 02 38.54 , +31 15 43.48 , 0  , 18.9 , BL Lac , 6 , 0 , 0.43 , 0
937 , 5BZBJ1704+7138 , 17 04 46.97 , +71 38 17.59 , 0  , 18 , BL Lac , 35 , 0 , 1.17 , 0
938 , 5BZBJ1705+6042 , 17 05 34.81 , +60 42 15.8 , 0.28  , 18.8 , BL Lac , 3 , 0 , 0.98 , 0
939 , 5BZBJ1712+2931 , 17 12 48.71 , +29 31 17.5 , 0.421 ?  , 17.8 , BL Lac , 16 , 0 , 0.37 , 0
940 , 5BZBJ1714+3036 , 17 14 45.54 , +30 36 28.0 , 0  , 18.6 , BL Lac , 2 , 0 , 0.25 , 0
941 , 5BZBJ1714+5601 , 17 14 27.41 , +56 01 55.99 , 0.401  , 19.3 , BL Lac , 6 , 0 , 0.34 , 0
942 , 5BZBJ1715+2929 , 17 15 01.36 , +29 29 12.3 , 0  , 19.5 , BL Lac , 24 , 0 , 0 , 0
943 , 5BZBJ1717-3342 , 17 17 36.02 , -33 42 08.78 , 0  , 17.3 , BL Lac Candidate , 624 , 1907 , 0 , 8.7e-9
944 , 5BZBJ1719+1745 , 17 19 13.05 , +17 45 06.4 , 0  , 17.3 , BL Lac , 543 , 467 , 0.36 , 2.2e-9
945 , 5BZBJ1719+5524 , 17 19 02.34 , +55 24 06.4 , 0.626  , 20.8 , BL Lac , 2 , 0 , 0.26 , 0
946 , 5BZBJ1719+7443 , 17 19 40.99 , +74 43 00.01 , 0  , 19.6 , BL Lac Candidate , 4 , 0 , 0.17 , 0
947 , 5BZBJ1721+6004 , 17 21 16.59 , +60 04 06.38 , 0.531  , 19.6 , BL Lac , 3 , 0 , 0.18 , 0
948 , 5BZBJ1725+1152 , 17 25 04.36 , +11 52 15.2 , 0  , 14.9 , BL Lac , 120 , 0 , 11.5 , 3.7e-9
949 , 5BZBJ1725+5851 , 17 25 35.0 , +58 51 39.81 , 0  , 17.6 , BL Lac , 76 , 0 , 0 , 5e-10
950 , 5BZBJ1726+5955 , 17 26 40.4 , +59 55 49.29 , 0  , 20.3 , BL Lac , 13 , 0 , 0.33 , 0
951 , 5BZBJ1728+5013 , 17 28 18.61 , +50 13 10.48 , 0.055  , 13.9 , BL Lac , 201 , 0 , 20.4 , 8e-10
952 , 5BZBJ1729+5255 , 17 29 18.76 , +52 55 59.3 , 0.349  , 18 , BL Lac , 16 , 0 , 0.72 , 0
953 , 5BZBJ1735+5650 , 17 35 10.81 , +56 50 22.7 , 0.388  , 20.1 , BL Lac , 47 , 0 , 0 , 0
954 , 5BZBJ1736+2033 , 17 36 05.25 , +20 33 01.11 , 0  , 17.9 , BL Lac Candidate , 25 , 0 , 0.17 , 9e-10
955 , 5BZBJ1737+5702 , 17 37 19.13 , +57 02 16.4 , 0  , 20.2 , BL Lac , 12 , 0 , 0 , 0
956 , 5BZBJ1739+4737 , 17 39 57.12 , +47 37 58.4 , 0  , 18.8 , BL Lac , 759 , 321 , 0.14 , 6e-10
957 , 5BZBJ1741+7224 , 17 41 22.88 , +72 24 51.91 , 0.22  , 15.8 , BL Lac Candidate , 88 , 0 , 0 , 0
958 , 5BZBJ1742+5945 , 17 42 31.99 , +59 45 06.8 , 0  , 17 , BL Lac , 106 , 0 , 0.16 , 5e-10
959 , 5BZBJ1744-0518 , 17 44 20.89 , -05 18 40.78 , 0.31  , 21.6 , BL Lac , 197 , 0 , 0.05 , 0
960 , 5BZBJ1745-0753 , 17 45 27.1 , -07 53 03.91 , 0  , 17.3 , BL Lac , 1182 , 0 , 0.28 , 1e-9
961 , 5BZBJ1746+5028 , 17 46 32.36 , +50 28 10.7 , 0  , 19.9 , BL Lac Candidate , 3 , 0 , 0.4 , 0
962 , 5BZBJ1747+4658 , 17 47 26.64 , +46 58 50.91 , 0  , 21.2 , BL Lac , 305 , 0 , 0.17 , 0
963 , 5BZBJ1747+4937 , 17 47 02.59 , +49 37 59.01 , 0.46  , 19.6 , BL Lac , 7 , 0 , 1.3 , 0
964 , 5BZBJ1748+7005 , 17 48 32.83 , +70 05 50.78 , 0.77 ?  , 15.6 , BL Lac , 735 , 350 , 0.72 , 2.1e-9
965 , 5BZBJ1749+4321 , 17 49 00.36 , +43 21 51.29 , 0  , 18.1 , BL Lac , 279 , 0 , 0.18 , 1.3e-9
966 , 5BZBJ1751+0939 , 17 51 32.82 , +09 39 00.68 , 0.322  , 17 , BL Lac , 623 , 2908 , 1.18 , 4.6e-9
967 , 5BZBJ1754+3212 , 17 54 11.81 , +32 12 23.18 , 0  , 16.2 , BL Lac , 64 , 0 , 0.73 , 2.4e-9
968 , 5BZBJ1754-6423 , 17 54 42.0 , -64 23 45.81 , 0  , 17.7 , BL Lac , 185 , 0 , 0 , 5e-10
969 , 5BZBJ1756+5522 , 17 56 15.89 , +55 22 18.08 , 0  , 16.9 , BL Lac , 16 , 0 , 6.84 , 5e-10
970 , 5BZBJ1757+7033 , 17 57 13.24 , +70 33 37.4 , 0.407  , 18 , BL Lac , 10 , 0 , 4.02 , 0
971 , 5BZBJ1759+7037 , 17 59 49.01 , +70 37 21.28 , 0  , 18.7 , BL Lac Candidate , 10 , 0 , 1.25 , 0
972 , 5BZBJ1800+6126 , 18 00 25.15 , +61 26 13.48 , 0  , 19.4 , BL Lac Candidate , 23 , 0 , 0 , 0
973 , 5BZBJ1800+7828 , 18 00 45.67 , +78 28 04.0 , 0.68  , 17.1 , BL Lac , 2223 , 1319 , 0.79 , 4.4e-9
974 , 5BZBJ1803+6548 , 18 03 54.31 , +65 48 25.09 , 0.085 ?  , 20 , BL Lac Candidate , 40 , 0 , 0.19 , 0
975 , 5BZBJ1806+6949 , 18 06 50.68 , +69 49 28.09 , 0.046  , 11.1 , BL Lac , 1886 , 0 , 1.89 , 3.8e-9
976 , 5BZBJ1808+4649 , 18 08 01.19 , +46 49 41.01 , 0  , 18.3 , BL Lac , 64 , 0 , 0.35 , 0
977 , 5BZBJ1809+2041 , 18 09 25.42 , +20 41 31.09 , 0  , 16.9 , BL Lac , 52 , 0 , 0.66 , 6e-10
978 , 5BZBJ1809+2910 , 18 09 45.38 , +29 10 19.88 , 0  , 16.8 , BL Lac , 82 , 0 , 0 , 1.2e-9
979 , 5BZBJ1810+1608 , 18 10 50.17 , +16 08 20.79 , 0  , 18.8 , BL Lac , 33 , 0 , 0 , 1.1e-9
980 , 5BZBJ1811+0341 , 18 11 18.03 , +03 41 13.81 , 0  , 17.4 , BL Lac Candidate , 21 , 0 , 0.59 , 9e-10
981 , 5BZBJ1811+1704 , 18 11 43.18 , +17 04 57.28 , 0  , 18.9 , BL Lac Candidate , 132 , 0 , 0.32 , 0
982 , 5BZBJ1811+4416 , 18 11 53.49 , +44 16 27.69 , 0  , 20.1 , BL Lac , 73 , 0 , 0.45 , 0
983 , 5BZBJ1813+0615 , 18 13 33.41 , +06 15 42.01 , 0  , 18 , BL Lac , 190 , 255 , 0 , 9e-10
984 , 5BZBJ1813+3144 , 18 13 35.2 , +31 44 17.7 , 0.117  , 15.2 , BL Lac Candidate , 191 , 0 , 0.59 , 1.8e-9
985 , 5BZBJ1823+6857 , 18 23 32.84 , +68 57 52.59 , 0  , 19 , BL Lac , 219 , 0 , 0.06 , 8e-10
986 , 5BZBJ1824+5651 , 18 24 07.07 , +56 51 01.51 , 0.663  , 17.5 , BL Lac , 1412 , 902 , 1.17 , 2.6e-9
987 , 5BZBJ1829+5402 , 18 29 24.29 , +54 02 59.78 , 0  , 17.2 , BL Lac , 25 , 0 , 0.92 , 7e-10
988 , 5BZBJ1830+1324 , 18 30 00.76 , +13 24 14.29 , 0  , 17.7 , BL Lac , 95 , 0 , 0 , 8e-10
989 , 5BZBJ1832-5659 , 18 32 30.97 , -56 59 20.68 , 0  , 17 , BL Lac , 211 , 0 , 0 , 8e-10
990 , 5BZBJ1834-5856 , 18 34 27.47 , -58 56 36.31 , 0  , 18.3 , BL Lac , 373 , 0 , 0.15 , 0
991 , 5BZBJ1834-5948 , 18 34 15.41 , -59 48 47.3 , 0.435 ?  , 18.6 , BL Lac Candidate , 221 , 0 , 0.18 , 0
992 , 5BZBJ1836+3136 , 18 36 21.24 , +31 36 26.78 , 0  , 16.7 , BL Lac , 36 , 0 , 0.3 , 8e-10
993 , 5BZBJ1838+4802 , 18 38 49.16 , +48 02 34.4 , 0  , 16.2 , BL Lac , 30 , 0 , 1.29 , 1.2e-9
994 , 5BZBJ1840+5452 , 18 40 57.37 , +54 52 15.88 , 0.646  , 19.5 , BL Lac , 208 , 0 , 0.25 , 0
995 , 5BZBJ1841+3218 , 18 41 47.04 , +32 18 39.2 , 0  , 16.8 , BL Lac , 20 , 0 , 2.88 , 1.4e-9
996 , 5BZBJ1841+5906 , 18 41 20.3 , +59 06 08.2 , 0.53  , 18.6 , BL Lac , 19 , 0 , 0.31 , 0
997 , 5BZBJ1843-7430 , 18 43 40.21 , -74 30 24.19 , 0  , 21 , BL Lac , 121 , 0 , 0.04 , 0
998 , 5BZBJ1844+5709 , 18 44 50.95 , +57 09 38.59 , 0  , 17.8 , BL Lac , 162 , 0 , 0 , 4e-10
999 , 5BZBJ1848+4245 , 18 48 47.14 , +42 45 39.38 , 0  , 17.8 , BL Lac , 21 , 0 , 4.58 , 0
1000 , 5BZBJ1848+6537 , 18 48 22.66 , +65 37 02.31 , 0.364  , 18.6 , BL Lac , 8 , 0 , 1.77 , 0
1001 , 5BZBJ1849+2748 , 18 49 31.74 , +27 48 00.79 , 0  , 19.3 , BL Lac , 47 , 0 , 0 , 7e-10
1002 , 5BZBJ1849-4314 , 18 49 25.92 , -43 14 13.09 , 0  , 17.9 , BL Lac , 90 , 0 , 0 , 1.3e-9
1003 , 5BZBJ1853+6713 , 18 53 52.06 , +67 13 55.09 , 0.212  , 17.1 , BL Lac , 11 , 0 , 0.86 , 0
1004 , 5BZBJ1901-2112 , 19 01 04.44 , -21 12 01.18 , 0  , 17.6 , BL Lac Candidate , 92 , 0 , 0 , 0
1005 , 5BZBJ1903+5540 , 19 03 11.6 , +55 40 38.49 , 0  , 16.4 , BL Lac , 261 , 0 , 0.94 , 3.5e-9
1006 , 5BZBJ1917-1921 , 19 17 44.82 , -19 21 31.6 , 0.137  , 15.7 , BL Lac , 482 , 0 , 2.86 , 3.2e-9
1007 , 5BZBJ1918-4111 , 19 18 16.04 , -41 11 30.8 , 0  , 17.3 , BL Lac , 361 , 0 , 0 , 2.5e-9
1008 , 5BZBJ1921-1231 , 19 21 23.92 , -12 31 54.4 , 0  , 18.6 , BL Lac , 111 , 0 , 0 , 1e-9
1009 , 5BZBJ1921-1607 , 19 21 51.54 , -16 07 13.18 , 0  , 16.7 , BL Lac , 96 , 0 , 0.46 , 1.6e-9
1010 , 5BZBJ1925+2106 , 19 25 59.61 , +21 06 26.2 , 0  , 16.2 , BL Lac , 1199 , 667 , 0 , 0
1011 , 5BZBJ1925-1018 , 19 25 03.21 , -10 18 12.59 , 0  , 14.6 , BL Lac Candidate , 94 , 0 , 0 , 1.3e-9
1012 , 5BZBJ1925-2219 , 19 25 39.78 , -22 19 35.11 , 0  , 17.4 , BL Lac , 445 , 0 , 0 , 0
1013 , 5BZBJ1925-5935 , 19 25 24.35 , -59 35 32.31 , 0.436  , 18.1 , BL Lac , 229 , 0 , 0 , 0
1014 , 5BZBJ1926+6154 , 19 26 49.88 , +61 54 42.4 , 0  , 17.1 , BL Lac , 23 , 0 , 1.92 , 2.2e-9
1015 , 5BZBJ1927+6117 , 19 27 30.43 , +61 17 32.89 , 0  , 17.7 , BL Lac , 535 , 409 , 0.27 , 9e-10
1016 , 5BZBJ1931+0937 , 19 31 09.6 , +09 37 17.5 , 0  , 16.8 , BL Lac , 19 , 0 , 7.36 , 3.1e-9
1017 , 5BZBJ1936-4719 , 19 36 56.1 , -47 19 50.01 , 0.265  , 16.2 , BL Lac , 85 , 0 , 2.56 , 7e-10
1018 , 5BZBJ1942+1033 , 19 42 47.47 , +10 33 26.99 , 0  , 15.4 , BL Lac , 99 , 0 , 2.86 , 2.8e-9
1019 , 5BZBJ1945-3111 , 19 45 59.4 , -31 11 39.3 , 0  , 18 , BL Lac , 168 , 0 , 0 , 7e-10
1020 , 5BZBJ1954-1123 , 19 54 41.15 , -11 23 22.59 , 0.683  , 18.9 , BL Lac , 367 , 539 , 0.34 , 2.9e-9
1021 , 5BZBJ1959+6508 , 19 59 59.86 , +65 08 54.7 , 0.047  , 11.9 , BL Lac , 250 , 0 , 32.3 , 5.9e-9
1022 , 5BZBJ2001+4352 , 20 01 12.86 , +43 52 52.78 , 0  , 15 , BL Lac , 104 , 0 , 1 , 1.18e-8
1023 , 5BZBJ2001+7040 , 20 01 33.95 , +70 40 25.39 , 0  , 19.6 , BL Lac , 160 , 0 , 0.13 , 8e-10
1024 , 5BZBJ2005+7004 , 20 05 06.3 , +70 04 40.69 , 0  , 19.2 , BL Lac , 8 , 0 , 0.59 , 1.2e-9
1025 , 5BZBJ2005+7752 , 20 05 31.0 , +77 52 43.21 , 0.342  , 16.1 , BL Lac , 1061 , 939 , 0.43 , 1.1e-9
1026 , 5BZBJ2009+7229 , 20 09 52.3 , +72 29 19.39 , 0  , 19 , BL Lac , 954 , 388 , 0.13 , 1.4e-9
1027 , 5BZBJ2009-4849 , 20 09 25.38 , -48 49 53.68 , 0.071  , 11 , BL Lac , 1299 , 506 , 33.3 , 3.8e-9
1028 , 5BZBJ2012+4628 , 20 12 05.64 , +46 28 55.81 , 0  , 16.8 , BL Lac , 620 , 656 , 3.84 , 2.6e-9
1029 , 5BZBJ2014+0648 , 20 14 31.07 , +06 48 52.3 , 0.341  , 17.8 , BL Lac , 16 , 0 , 0.42 , 5e-10
1030 , 5BZBJ2014-0047 , 20 14 28.63 , -00 47 22.81 , 0  , 17.7 , BL Lac , 125 , 0 , 0.77 , 1e-9
1031 , 5BZBJ2015-0137 , 20 15 15.16 , -01 37 32.59 , 0  , 16.5 , BL Lac , 922 , 0 , 0.27 , 1.2e-9
1032 , 5BZBJ2016-0903 , 20 16 24.03 , -09 03 33.4 , 0  , 16.9 , BL Lac , 76 , 0 , 0.3 , 1.9e-9
1033 , 5BZBJ2017-3753 , 20 17 28.69 , -37 53 45.99 , 0.598 ?  , 20 , BL Lac , 286 , 0 , 0 , 0
1034 , 5BZBJ2022+7611 , 20 22 35.58 , +76 11 26.19 , 0  , 16.7 , BL Lac , 429 , 589 , 0.8 , 1.5e-9
1035 , 5BZBJ2022-4513 , 20 22 26.2 , -45 13 31.0 , 0  , 0 , BL Lac , 141 , 0 , 0 , 5e-10
1036 , 5BZBJ2036+6553 , 20 36 20.14 , +65 53 14.49 , 0  , 18 , BL Lac , 131 , 0 , 0 , 6e-10
1037 , 5BZBJ2038-2636 , 20 38 44.98 , -26 36 31.71 , 0.437  , 19.5 , BL Lac , 6 , 0 , 1.95 , 0
1038 , 5BZBJ2039+5219 , 20 39 23.5 , +52 19 49.9 , 0.053  , 16.2 , BL Lac Candidate , 41 , 0 , 1.04 , 4e-10
1039 , 5BZBJ2039-1046 , 20 39 00.71 , -10 46 41.8 , 0  , 19 , BL Lac , 193 , 0 , 0.53 , 2.2e-9
1040 , 5BZBJ2047-2908 , 20 47 35.9 , -29 08 58.99 , 0.333  , 18.6 , BL Lac , 11 , 0 , 1.64 , 0
1041 , 5BZBJ2050+0407 , 20 50 06.23 , +04 07 48.9 , 0  , 18.5 , BL Lac , 566 , 195 , 0.28 , 8e-10
1042 , 5BZBJ2051+7441 , 20 51 33.72 , +74 41 40.48 , 0  , 19.2 , BL Lac Candidate , 359 , 0 , 0 , 0
1043 , 5BZBJ2052+0810 , 20 52 43.03 , +08 10 37.48 , 0  , 20.3 , BL Lac , 6 , 0 , 2.02 , 0
1044 , 5BZBJ2055-0021 , 20 55 28.21 , -00 21 17.2 , 0  , 17.9 , BL Lac , 41 , 0 , 4.95 , 4e-10
1045 , 5BZBJ2056-3208 , 20 56 25.07 , -32 08 47.79 , 0  , 19.8 , BL Lac , 67 , 440 , 0 , 0
1046 , 5BZBJ2108-0250 , 21 08 44.72 , -02 50 34.18 , 0.149  , 16.2 , BL Lac , 127 , 0 , 1.38 , 4e-10
1047 , 5BZBJ2108-6637 , 21 08 51.82 , -66 37 22.69 , 0  , 17 , BL Lac , 327 , 0 , 1.62 , 6e-10
1048 , 5BZBJ2116+3339 , 21 16 14.51 , +33 39 20.41 , 0  , 15.4 , BL Lac , 116 , 0 , 0.25 , 2.8e-9
1049 , 5BZBJ2116-0108 , 21 16 03.23 , -01 08 28.39 , 0.305  , 17.9 , BL Lac , 69 , 0 , 0 , 0
1050 , 5BZBJ2123-1036 , 21 23 07.26 , -10 36 48.6 , 0  , 15.7 , BL Lac , 119 , 0 , 6.36 , 0
1051 , 5BZBJ2127+3613 , 21 27 43.02 , +36 13 05.69 , 0  , 16.9 , BL Lac , 192 , 0 , 0.38 , 1.1e-9
1052 , 5BZBJ2131-0915 , 21 31 35.39 , -09 15 23.0 , 0.449  , 17.5 , BL Lac , 42 , 0 , 7.3 , 8e-10
1053 , 5BZBJ2131-2515 , 21 31 51.29 , -25 15 57.99 , 0  , 18.5 , BL Lac , 11 , 0 , 2.8 , 0
1054 , 5BZBJ2131-2746 , 21 31 03.29 , -27 46 58.0 , 0  , 17.4 , BL Lac , 37 , 0 , 2.49 , 0
1055 , 5BZBJ2134-0153 , 21 34 10.31 , -01 53 17.19 , 1.283  , 17.6 , BL Lac , 1691 , 1311 , 0.32 , 1e-9
1056 , 5BZBJ2136-4443 , 21 36 18.38 , -44 43 48.89 , 0  , 19 , BL Lac , 8 , 0 , 1.24 , 0
1057 , 5BZBJ2138-2053 , 21 38 52.77 , -20 53 46.49 , 0.29  , 17.4 , BL Lac , 10 , 0 , 6.16 , 3e-10
1058 , 5BZBJ2139-4235 , 21 39 24.16 , -42 35 20.39 , 0  , 15.7 , BL Lac , 78 , 0 , 0.73 , 5.6e-9
1059 , 5BZBJ2143-3929 , 21 43 02.87 , -39 29 24.68 , 0.429  , 18 , BL Lac , 143 , 0 , 0 , 7e-10
1060 , 5BZBJ2144-0028 , 21 44 06.26 , -00 28 58.11 , 0  , 20.7 , BL Lac , 39 , 0 , 0 , 0
1061 , 5BZBJ2145+0719 , 21 45 52.3 , +07 19 27.19 , 0.237  , 17.9 , BL Lac , 102 , 0 , 4.76 , 0
1062 , 5BZBJ2146-1344 , 21 46 36.95 , -13 44 00.59 , 0  , 17.5 , BL Lac , 23 , 0 , 1.12 , 1.2e-9
1063 , 5BZBJ2146-4748 , 21 46 25.69 , -47 48 37.58 , 0  , 19.7 , BL Lac , 38 , 0 , 2.93 , 0
1064 , 5BZBJ2148-0733 , 21 48 07.07 , -07 33 46.9 , 0  , 18.4 , BL Lac , 8 , 0 , 0 , 0
1065 , 5BZBJ2149+0322 , 21 49 41.87 , +03 22 51.38 , 0  , 17.9 , BL Lac , 100 , 0 , 0.08 , 8e-10
1066 , 5BZBJ2150+1119 , 21 50 51.71 , +11 19 16.6 , 0.495 ?  , 18.9 , BL Lac , 10 , 0 , 0 , 0
1067 , 5BZBJ2152+1734 , 21 52 24.82 , +17 34 37.81 , 0  , 19 , BL Lac , 681 , 257 , 0.11 , 6e-10
1068 , 5BZBJ2152-1205 , 21 52 14.1 , -12 05 41.38 , 0  , 18.6 , BL Lac , 53 , 0 , 2.44 , 0
1069 , 5BZBJ2153-0042 , 21 53 05.33 , -00 42 30.59 , 0.341 ?  , 18.1 , BL Lac , 25 , 0 , 3.05 , 0
1070 , 5BZBJ2156-0855 , 21 56 50.33 , -08 55 35.4 , 0  , 18.9 , BL Lac , 22 , 0 , 0 , 0
1071 , 5BZBJ2158-3013 , 21 58 52.07 , -30 13 32.08 , 0.116  , 12.8 , BL Lac , 489 , 0 , 324 , 2.35e-8
1072 , 5BZBJ2201-1707 , 22 01 55.83 , -17 07 00.29 , 0.169  , 16.8 , BL Lac Candidate , 4 , 0 , 2.21 , 0
1073 , 5BZBJ2202+4216 , 22 02 43.29 , +42 16 40.0 , 0.069  , 12.5 , BL Lac , 6051 , 4377 , 10.4 , 1.6e-9
1074 , 5BZBJ2206-0031 , 22 06 43.29 , -00 31 02.49 , 0  , 19.7 , BL Lac , 152 , 267 , 0.2 , 6e-10
1075 , 5BZBJ2211-0003 , 22 11 08.33 , -00 03 02.48 , 0.362  , 18.7 , BL Lac , 26 , 0 , 1.59 , 0
1076 , 5BZBJ2214+0020 , 22 14 56.36 , +00 20 00.2 , 0  , 18.4 , BL Lac , 45 , 0 , 0 , 0
1077 , 5BZBJ2217+2421 , 22 17 00.82 , +24 21 46.0 , 0  , 17.5 , BL Lac , 528 , 424 , 0.36 , 9e-10
1078 , 5BZBJ2217-3106 , 22 17 28.46 , -31 06 21.6 , 0.46  , 19.5 , BL Lac , 28 , 0 , 3.07 , 0
1079 , 5BZBJ2219+2120 , 22 19 44.17 , +21 20 53.19 , 0.2 ?  , 18.1 , BL Lac , 177 , 0 , 1.03 , 0
1080 , 5BZBJ2221-5225 , 22 21 29.29 , -52 25 27.58 , 0  , 16.7 , BL Lac , 25 , 0 , 5.43 , 7e-10
1081 , 5BZBJ2222-1753 , 22 22 53.87 , -17 53 21.01 , 0.297  , 18.5 , BL Lac , 5 , 0 , 1.55 , 0
1082 , 5BZBJ2223+0102 , 22 23 29.57 , +01 02 26.7 , 0  , 18.3 , BL Lac , 7 , 0 , 0.1 , 4e-10
1083 , 5BZBJ2224-1126 , 22 24 07.96 , -11 26 21.08 , 0.115 ?  , 18.6 , BL Lac , 559 , 0 , 0.13 , 0
1084 , 5BZBJ2225-1113 , 22 25 43.72 , -11 13 40.69 , 0.997 ?  , 18.3 , BL Lac , 314 , 0 , 0 , 0
1085 , 5BZBJ2227+0037 , 22 27 58.14 , +00 37 05.48 , 0  , 18.1 , BL Lac , 102 , 0 , 0 , 0
1086 , 5BZBJ2233+1336 , 22 33 01.12 , +13 36 02.01 , 0.214  , 18 , BL Lac , 25 , 0 , 1.51 , 0
1087 , 5BZBJ2235-3629 , 22 35 54.83 , -36 29 02.9 , 0  , 19.1 , BL Lac , 68 , 0 , 0 , 6e-10
